country_id,country
country1,Afghanistan
country2,Albania
country3,Algeria
country4,American Samoa
country5,Andorra
country6,Angola
country7,Anguilla
country8,Antigua & Barbuda
country9,Argentina
country10,Armenia
country11,Aruba
country12,Australia
country13,Austria
country14,Azerbaijan
country15,"Bahamas, The"
country16,Bahrain
country17,Bangladesh
country18,Barbados
country19,Belarus
country20,Belgium
country21,Belize
country22,Benin
country23,Bermuda
country24,Bhutan
country25,Bolivia
country26,Bosnia & Herzegovina
country27,Botswana
country28,Brazil
country29,British Virgin Is.
country30,Brunei
country31,Bulgaria
country32,Burkina Faso
country33,Burma
country34,Burundi
country35,Cambodia
country36,Cameroon
country37,Canada
country38,Cape Verde
country39,Cayman Islands
country40,Central African Rep.
country41,Chad
country42,Chile
country43,China
country44,Colombia
country45,Comoros
country46,"Congo, Dem. Rep."
country47,"Congo, Repub. of the"
country48,Cook Islands
country49,Costa Rica
country50,Cote d'Ivoire
country51,Croatia
country52,Cuba
country53,Cyprus
country54,Czech Republic
country55,Denmark
country56,Djibouti
country57,Dominica
country58,Dominican Republic
country59,East Timor
country60,Ecuador
country61,Egypt
country62,El Salvador
country63,Equatorial Guinea
country64,Eritrea
country65,Estonia
country66,Ethiopia
country67,Faroe Islands
country68,Fiji
country69,Finland
country70,France
country71,French Guiana
country72,French Polynesia
country73,Gabon
country74,"Gambia, The"
country75,Gaza Strip
country76,Georgia
country77,Germany
country78,Ghana
country79,Gibraltar
country80,Greece
country81,Greenland
country82,Grenada
country83,Guadeloupe
country84,Guam
country85,Guatemala
country86,Guernsey
country87,Guinea
country88,Guinea-Bissau
country89,Guyana
country90,Haiti
country91,Honduras
country92,Hong Kong
country93,Hungary
country94,Iceland
country95,India
country96,Indonesia
country97,Iran
country98,Iraq
country99,Ireland
country100,Isle of Man
country101,Israel
country102,Italy
country103,Jamaica
country104,Japan
country105,Jersey
country106,Jordan
country107,Kazakhstan
country108,Kenya
country109,Kiribati
country110,"Korea, North"
country111,"Korea, South"
country112,Kuwait
country113,Kyrgyzstan
country114,Laos
country115,Latvia
country116,Lebanon
country117,Lesotho
country118,Liberia
country119,Libya
country120,Liechtenstein
country121,Lithuania
country122,Luxembourg
country123,Macau
country124,Macedonia
country125,Madagascar
country126,Malawi
country127,Malaysia
country128,Maldives
country129,Mali
country130,Malta
country131,Marshall Islands
country132,Martinique
country133,Mauritania
country134,Mauritius
country135,Mayotte
country136,Mexico
country137,"Micronesia, Fed. St."
country138,Moldova
country139,Monaco
country140,Mongolia
country141,Montserrat
country142,Morocco
country143,Mozambique
country144,Namibia
country145,Nauru
country146,Nepal
country147,Netherlands
country148,Netherlands Antilles
country149,New Caledonia
country150,New Zealand
country151,Nicaragua
country152,Niger
country153,Nigeria
country154,N. Mariana Islands
country155,Norway
country156,Oman
country157,Pakistan
country158,Palau
country159,Panama
country160,Papua New Guinea
country161,Paraguay
country162,Peru
country163,Philippines
country164,Poland
country165,Portugal
country166,Puerto Rico
country167,Qatar
country168,Reunion
country169,Romania
country170,Russia
country171,Rwanda
country172,Saint Helena
country173,Saint Kitts & Nevis
country174,Saint Lucia
country175,St Pierre & Miquelon
country176,Saint Vincent and the Grenadines
country177,Samoa
country178,San Marino
country179,Sao Tome & Principe
country180,Saudi Arabia
country181,Senegal
country182,Serbia
country183,Seychelles
country184,Sierra Leone
country185,Singapore
country186,Slovakia
country187,Slovenia
country188,Solomon Islands
country189,Somalia
country190,South Africa
country191,Spain
country192,Sri Lanka
country193,Sudan
country194,Suriname
country195,Swaziland
country196,Sweden
country197,Switzerland
country198,Syria
country199,Taiwan
country200,Tajikistan
country201,Tanzania
country202,Thailand
country203,Togo
country204,Tonga
country205,Trinidad & Tobago
country206,Tunisia
country207,Turkey
country208,Turkmenistan
country209,Turks & Caicos Is
country210,Tuvalu
country211,Uganda
country212,Ukraine
country213,United Arab Emirates
country214,United Kingdom
country215,United States
country216,Uruguay
country217,Uzbekistan
country218,Vanuatu
country219,Venezuela
country220,Vietnam
country221,Virgin Islands
country222,Wallis and Futuna
country223,West Bank
country224,Western Sahara
country225,Yemen
country226,Zambia
country227,Zimbabwe
